Time [s] 	canBusModel.CAN_OUT 	vECUcontroller_1.Out1
1.139	0-0-0-0-	0-0-0-0-0-
1.14	0-0-0-0-	0-0-0-0-0-
1.141	0-0-0-0-	0-0-0-0-0-
1.142	0-0-0-0-	1-5-0-8-D2:00:00:00:00:00:00:00
1.143	0-0-0-0-	0-0-0-0-0-
1.144	1-5-0-8-D2:00:00:00:00:00:00:00	0-0-0-0-0-
1.145	0-0-0-0-	0-0-0-0-0-
1.146	0-0-0-0-	0-0-0-0-0-
1.147	0-0-0-0-	0-0-0-0-0-
1.148	0-0-0-0-	0-0-0-0-0-
1.149	0-0-0-0-	0-0-0-0-0-
1.15	0-0-0-0-	0-0-0-0-0-
1.151	0-0-0-0-	0-0-0-0-0-
1.152	0-0-0-0-	0-0-0-0-0-
1.153	0-0-0-0-	0-0-0-0-0-
1.154	0-0-0-0-	0-0-0-0-0-
1.155	0-0-0-0-	0-0-0-0-0-
1.156	0-0-0-0-	0-0-0-0-0-
1.157	0-0-0-0-	0-0-0-0-0-
1.158	0-0-0-0-	0-0-0-0-0-
1.159	0-0-0-0-	0-0-0-0-0-
1.16	0-0-0-0-	0-0-0-0-0-
1.161	0-0-0-0-	0-0-0-0-0-
1.162	0-0-0-0-	0-0-0-0-0-
1.163	0-0-0-0-	0-0-0-0-0-
1.164	0-0-0-0-	0-0-0-0-0-
1.165	0-0-0-0-	0-0-0-0-0-
1.166	0-0-0-0-	0-0-0-0-0-
1.167	0-0-0-0-	0-0-0-0-0-
1.168	0-0-0-0-	0-0-0-0-0-
1.169	0-0-0-0-	0-0-0-0-0-
1.17	0-0-0-0-	0-0-0-0-0-
1.171	0-0-0-0-	0-0-0-0-0-
1.172	0-0-0-0-	0-0-0-0-0-
1.173	0-0-0-0-	0-0-0-0-0-
1.174	0-0-0-0-	0-0-0-0-0-
1.175	0-0-0-0-	0-0-0-0-0-
1.176	0-0-0-0-	0-0-0-0-0-
1.177	0-0-0-0-	0-0-0-0-0-
1.178	0-0-0-0-	0-0-0-0-0-
1.179	0-0-0-0-	0-0-0-0-0-
1.18	0-0-0-0-	0-0-0-0-0-
1.181	0-0-0-0-	0-0-0-0-0-
1.182	0-0-0-0-	0-0-0-0-0-
1.183	0-0-0-0-	0-0-0-0-0-
1.184	0-0-0-0-	0-0-0-0-0-
1.185	0-0-0-0-	0-0-0-0-0-
1.186	0-0-0-0-	0-0-0-0-0-
1.187	0-0-0-0-	0-0-0-0-0-
1.188	0-0-0-0-	0-0-0-0-0-
1.189	0-0-0-0-	0-0-0-0-0-
1.19	0-0-0-0-	0-0-0-0-0-
1.191	0-0-0-0-	0-0-0-0-0-
1.192	0-0-0-0-	1-5-0-8-DC:00:00:00:00:00:00:00
1.193	0-0-0-0-	0-0-0-0-0-
1.194	1-5-0-8-DC:00:00:00:00:00:00:00	0-0-0-0-0-
1.195	0-0-0-0-	0-0-0-0-0-
1.196	0-0-0-0-	0-0-0-0-0-
1.197	0-0-0-0-	0-0-0-0-0-
1.198	0-0-0-0-	0-0-0-0-0-
1.199	0-0-0-0-	0-0-0-0-0-
1.2	0-0-0-0-	0-0-0-0-0-
1.201	0-0-0-0-	0-0-0-0-0-
1.202	0-0-0-0-	0-0-0-0-0-
1.203	0-0-0-0-	0-0-0-0-0-
1.204	0-0-0-0-	0-0-0-0-0-
1.205	0-0-0-0-	0-0-0-0-0-
1.206	0-0-0-0-	0-0-0-0-0-
1.207	0-0-0-0-	0-0-0-0-0-
1.208	0-0-0-0-	0-0-0-0-0-
1.209	0-0-0-0-	0-0-0-0-0-
1.21	0-0-0-0-	0-0-0-0-0-
1.211	0-0-0-0-	0-0-0-0-0-
1.212	0-0-0-0-	0-0-0-0-0-
1.213	0-0-0-0-	0-0-0-0-0-
1.214	0-0-0-0-	0-0-0-0-0-
1.215	0-0-0-0-	0-0-0-0-0-
1.216	0-0-0-0-	0-0-0-0-0-
1.217	0-0-0-0-	0-0-0-0-0-
1.218	0-0-0-0-	0-0-0-0-0-
1.219	0-0-0-0-	0-0-0-0-0-
1.22	0-0-0-0-	0-0-0-0-0-
1.221	0-0-0-0-	0-0-0-0-0-
1.222	0-0-0-0-	0-0-0-0-0-
1.223	0-0-0-0-	0-0-0-0-0-
1.224	0-0-0-0-	0-0-0-0-0-
1.225	0-0-0-0-	0-0-0-0-0-
1.226	0-0-0-0-	0-0-0-0-0-
1.227	0-0-0-0-	0-0-0-0-0-
1.228	0-0-0-0-	0-0-0-0-0-
1.229	0-0-0-0-	0-0-0-0-0-
1.23	0-0-0-0-	0-0-0-0-0-
1.231	0-0-0-0-	0-0-0-0-0-
1.232	0-0-0-0-	0-0-0-0-0-
1.233	0-0-0-0-	0-0-0-0-0-
1.234	0-0-0-0-	0-0-0-0-0-
1.235	0-0-0-0-	0-0-0-0-0-
1.236	0-0-0-0-	0-0-0-0-0-
1.237	0-0-0-0-	0-0-0-0-0-
1.238	0-0-0-0-	0-0-0-0-0-
1.239	0-0-0-0-	0-0-0-0-0-
1.24	0-0-0-0-	0-0-0-0-0-
1.241	0-0-0-0-	0-0-0-0-0-
1.242	0-0-0-0-	1-5-0-8-E6:00:00:00:00:00:00:00
1.243	0-0-0-0-	0-0-0-0-0-
1.244	1-5-0-8-E6:00:00:00:00:00:00:00	0-0-0-0-0-
1.245	0-0-0-0-	0-0-0-0-0-
1.246	0-0-0-0-	0-0-0-0-0-
1.247	0-0-0-0-	0-0-0-0-0-
1.248	0-0-0-0-	0-0-0-0-0-
1.249	0-0-0-0-	0-0-0-0-0-
1.25	0-0-0-0-	0-0-0-0-0-
1.251	0-0-0-0-	0-0-0-0-0-
1.252	0-0-0-0-	0-0-0-0-0-
1.253	0-0-0-0-	0-0-0-0-0-
1.254	0-0-0-0-	0-0-0-0-0-
1.255	0-0-0-0-	0-0-0-0-0-
1.256	0-0-0-0-	0-0-0-0-0-
1.257	0-0-0-0-	0-0-0-0-0-
1.258	0-0-0-0-	0-0-0-0-0-
1.259	0-0-0-0-	0-0-0-0-0-
1.26	0-0-0-0-	0-0-0-0-0-
1.261	0-0-0-0-	0-0-0-0-0-
1.262	0-0-0-0-	0-0-0-0-0-
1.263	0-0-0-0-	0-0-0-0-0-
1.264	0-0-0-0-	0-0-0-0-0-
1.265	0-0-0-0-	0-0-0-0-0-
1.266	0-0-0-0-	0-0-0-0-0-
1.267	0-0-0-0-	0-0-0-0-0-
1.268	0-0-0-0-	0-0-0-0-0-
1.269	0-0-0-0-	0-0-0-0-0-
1.27	0-0-0-0-	0-0-0-0-0-
1.271	0-0-0-0-	0-0-0-0-0-
1.272	0-0-0-0-	0-0-0-0-0-
1.273	0-0-0-0-	0-0-0-0-0-
1.274	0-0-0-0-	0-0-0-0-0-
1.275	0-0-0-0-	0-0-0-0-0-
1.276	0-0-0-0-	0-0-0-0-0-
1.277	0-0-0-0-	0-0-0-0-0-
1.278	0-0-0-0-	0-0-0-0-0-
1.279	0-0-0-0-	0-0-0-0-0-
1.28	0-0-0-0-	0-0-0-0-0-
1.281	0-0-0-0-	0-0-0-0-0-
1.282	0-0-0-0-	0-0-0-0-0-
1.283	0-0-0-0-	0-0-0-0-0-
1.284	0-0-0-0-	0-0-0-0-0-
1.285	0-0-0-0-	0-0-0-0-0-
1.286	0-0-0-0-	0-0-0-0-0-
1.287	0-0-0-0-	0-0-0-0-0-
1.288	0-0-0-0-	0-0-0-0-0-
1.289	0-0-0-0-	0-0-0-0-0-
1.29	0-0-0-0-	0-0-0-0-0-
1.291	0-0-0-0-	0-0-0-0-0-
1.292	0-0-0-0-	1-5-0-8-F0:00:00:00:00:00:00:00
1.293	0-0-0-0-	0-0-0-0-0-
1.294	1-5-0-8-F0:00:00:00:00:00:00:00	0-0-0-0-0-
1.295	0-0-0-0-	0-0-0-0-0-
1.296	0-0-0-0-	0-0-0-0-0-
1.297	0-0-0-0-	0-0-0-0-0-
1.298	0-0-0-0-	0-0-0-0-0-
1.299	0-0-0-0-	0-0-0-0-0-
1.3	0-0-0-0-	0-0-0-0-0-
1.301	0-0-0-0-	0-0-0-0-0-
1.302	0-0-0-0-	0-0-0-0-0-
1.303	0-0-0-0-	0-0-0-0-0-
1.304	0-0-0-0-	0-0-0-0-0-
1.305	0-0-0-0-	0-0-0-0-0-
1.306	0-0-0-0-	0-0-0-0-0-
1.307	0-0-0-0-	0-0-0-0-0-
1.308	0-0-0-0-	0-0-0-0-0-
1.309	0-0-0-0-	0-0-0-0-0-
1.31	0-0-0-0-	0-0-0-0-0-
1.311	0-0-0-0-	0-0-0-0-0-
1.312	0-0-0-0-	0-0-0-0-0-
1.313	0-0-0-0-	0-0-0-0-0-
1.314	0-0-0-0-	0-0-0-0-0-
1.315	0-0-0-0-	0-0-0-0-0-
1.316	0-0-0-0-	0-0-0-0-0-
1.317	0-0-0-0-	0-0-0-0-0-
1.318	0-0-0-0-	0-0-0-0-0-
1.319	0-0-0-0-	0-0-0-0-0-
1.32	0-0-0-0-	0-0-0-0-0-
1.321	0-0-0-0-	0-0-0-0-0-
1.322	0-0-0-0-	0-0-0-0-0-
1.323	0-0-0-0-	0-0-0-0-0-
1.324	0-0-0-0-	0-0-0-0-0-
1.325	0-0-0-0-	0-0-0-0-0-
1.326	0-0-0-0-	0-0-0-0-0-
1.327	0-0-0-0-	0-0-0-0-0-
1.328	0-0-0-0-	0-0-0-0-0-
1.329	0-0-0-0-	0-0-0-0-0-
1.33	0-0-0-0-	0-0-0-0-0-
1.331	0-0-0-0-	0-0-0-0-0-
1.332	0-0-0-0-	0-0-0-0-0-
1.333	0-0-0-0-	0-0-0-0-0-
1.334	0-0-0-0-	0-0-0-0-0-
1.335	0-0-0-0-	0-0-0-0-0-
1.336	0-0-0-0-	0-0-0-0-0-
1.337	0-0-0-0-	0-0-0-0-0-
1.338	0-0-0-0-	0-0-0-0-0-
1.339	0-0-0-0-	0-0-0-0-0-
1.34	0-0-0-0-	0-0-0-0-0-
1.341	0-0-0-0-	0-0-0-0-0-
1.342	0-0-0-0-	1-5-0-8-FA:00:00:00:00:00:00:00
1.343	0-0-0-0-	0-0-0-0-0-
1.344	1-5-0-8-FA:00:00:00:00:00:00:00	0-0-0-0-0-
1.345	0-0-0-0-	0-0-0-0-0-
1.346	0-0-0-0-	0-0-0-0-0-
1.347	0-0-0-0-	0-0-0-0-0-
1.348	0-0-0-0-	0-0-0-0-0-
1.349	0-0-0-0-	0-0-0-0-0-
1.35	0-0-0-0-	0-0-0-0-0-
1.351	0-0-0-0-	0-0-0-0-0-
1.352	0-0-0-0-	0-0-0-0-0-
1.353	0-0-0-0-	0-0-0-0-0-
1.354	0-0-0-0-	0-0-0-0-0-
1.355	0-0-0-0-	0-0-0-0-0-
1.356	0-0-0-0-	0-0-0-0-0-
1.357	0-0-0-0-	0-0-0-0-0-
1.358	0-0-0-0-	0-0-0-0-0-
1.359	0-0-0-0-	0-0-0-0-0-
1.36	0-0-0-0-	0-0-0-0-0-
1.361	0-0-0-0-	0-0-0-0-0-
1.362	0-0-0-0-	0-0-0-0-0-
1.363	0-0-0-0-	0-0-0-0-0-
1.364	0-0-0-0-	0-0-0-0-0-
1.365	0-0-0-0-	0-0-0-0-0-
1.366	0-0-0-0-	0-0-0-0-0-
1.367	0-0-0-0-	0-0-0-0-0-
1.368	0-0-0-0-	0-0-0-0-0-
1.369	0-0-0-0-	0-0-0-0-0-
1.37	0-0-0-0-	0-0-0-0-0-
1.371	0-0-0-0-	0-0-0-0-0-
1.372	0-0-0-0-	0-0-0-0-0-
1.373	0-0-0-0-	0-0-0-0-0-
1.374	0-0-0-0-	0-0-0-0-0-
1.375	0-0-0-0-	0-0-0-0-0-
1.376	0-0-0-0-	0-0-0-0-0-
1.377	0-0-0-0-	0-0-0-0-0-
1.378	0-0-0-0-	0-0-0-0-0-
1.379	0-0-0-0-	0-0-0-0-0-
1.38	0-0-0-0-	0-0-0-0-0-
1.381	0-0-0-0-	0-0-0-0-0-
1.382	0-0-0-0-	0-0-0-0-0-
1.383	0-0-0-0-	0-0-0-0-0-
1.384	0-0-0-0-	0-0-0-0-0-
1.385	0-0-0-0-	0-0-0-0-0-
1.386	0-0-0-0-	0-0-0-0-0-
1.387	0-0-0-0-	0-0-0-0-0-
1.388	0-0-0-0-	0-0-0-0-0-
1.389	0-0-0-0-	0-0-0-0-0-
1.39	0-0-0-0-	0-0-0-0-0-
1.391	0-0-0-0-	0-0-0-0-0-
1.392	0-0-0-0-	1-5-0-8-04:00:00:00:00:00:00:00
1.393	0-0-0-0-	0-0-0-0-0-
1.394	1-5-0-8-04:00:00:00:00:00:00:00	0-0-0-0-0-
1.395	0-0-0-0-	0-0-0-0-0-
1.396	0-0-0-0-	0-0-0-0-0-
1.397	0-0-0-0-	0-0-0-0-0-
1.398	0-0-0-0-	0-0-0-0-0-
1.399	0-0-0-0-	0-0-0-0-0-
1.4	0-0-0-0-	0-0-0-0-0-
1.401	0-0-0-0-	0-0-0-0-0-
1.402	0-0-0-0-	0-0-0-0-0-
1.403	0-0-0-0-	0-0-0-0-0-
1.404	0-0-0-0-	0-0-0-0-0-
1.405	0-0-0-0-	0-0-0-0-0-
1.406	0-0-0-0-	0-0-0-0-0-
1.407	0-0-0-0-	0-0-0-0-0-
1.408	0-0-0-0-	0-0-0-0-0-
1.409	0-0-0-0-	0-0-0-0-0-
1.41	0-0-0-0-	0-0-0-0-0-
1.411	0-0-0-0-	0-0-0-0-0-
1.412	0-0-0-0-	0-0-0-0-0-
1.413	0-0-0-0-	0-0-0-0-0-
1.414	0-0-0-0-	0-0-0-0-0-
1.415	0-0-0-0-	0-0-0-0-0-
1.416	0-0-0-0-	0-0-0-0-0-
1.417	0-0-0-0-	0-0-0-0-0-
1.418	0-0-0-0-	0-0-0-0-0-
1.419	0-0-0-0-	0-0-0-0-0-
1.42	0-0-0-0-	0-0-0-0-0-
1.421	0-0-0-0-	0-0-0-0-0-
1.422	0-0-0-0-	0-0-0-0-0-
1.423	0-0-0-0-	0-0-0-0-0-
1.424	0-0-0-0-	0-0-0-0-0-
1.425	0-0-0-0-	0-0-0-0-0-
1.426	0-0-0-0-	0-0-0-0-0-
1.427	0-0-0-0-	0-0-0-0-0-
1.428	0-0-0-0-	0-0-0-0-0-
1.429	0-0-0-0-	0-0-0-0-0-
1.43	0-0-0-0-	0-0-0-0-0-
1.431	0-0-0-0-	0-0-0-0-0-
1.432	0-0-0-0-	0-0-0-0-0-
1.433	0-0-0-0-	0-0-0-0-0-
1.434	0-0-0-0-	0-0-0-0-0-
1.435	0-0-0-0-	0-0-0-0-0-
1.436	0-0-0-0-	0-0-0-0-0-
1.437	0-0-0-0-	0-0-0-0-0-
1.438	0-0-0-0-	0-0-0-0-0-
1.439	0-0-0-0-	0-0-0-0-0-
1.44	0-0-0-0-	0-0-0-0-0-
1.441	0-0-0-0-	0-0-0-0-0-
1.442	0-0-0-0-	1-5-0-8-0E:00:00:00:00:00:00:00
1.443	0-0-0-0-	0-0-0-0-0-
1.444	1-5-0-8-0E:00:00:00:00:00:00:00	0-0-0-0-0-
1.445	0-0-0-0-	0-0-0-0-0-
1.446	0-0-0-0-	0-0-0-0-0-
1.447	0-0-0-0-	0-0-0-0-0-
1.448	0-0-0-0-	0-0-0-0-0-
1.449	0-0-0-0-	0-0-0-0-0-
1.45	0-0-0-0-	0-0-0-0-0-
1.451	0-0-0-0-	0-0-0-0-0-
1.452	0-0-0-0-	0-0-0-0-0-
1.453	0-0-0-0-	0-0-0-0-0-
1.454	0-0-0-0-	0-0-0-0-0-
1.455	0-0-0-0-	0-0-0-0-0-
1.456	0-0-0-0-	0-0-0-0-0-
1.457	0-0-0-0-	0-0-0-0-0-
1.458	0-0-0-0-	0-0-0-0-0-
1.459	0-0-0-0-	0-0-0-0-0-
1.46	0-0-0-0-	0-0-0-0-0-
1.4609999999999	0-0-0-0-	0-0-0-0-0-
1.4619999999999	0-0-0-0-	0-0-0-0-0-
1.4629999999999	0-0-0-0-	0-0-0-0-0-
1.4639999999999	0-0-0-0-	0-0-0-0-0-
1.4649999999999	0-0-0-0-	0-0-0-0-0-
1.4659999999999	0-0-0-0-	0-0-0-0-0-
1.4669999999999	0-0-0-0-	0-0-0-0-0-
1.4679999999999	0-0-0-0-	0-0-0-0-0-
1.4689999999999	0-0-0-0-	0-0-0-0-0-
1.4699999999999	0-0-0-0-	0-0-0-0-0-
1.4709999999999	0-0-0-0-	0-0-0-0-0-
1.4719999999999	0-0-0-0-	0-0-0-0-0-
1.4729999999999	0-0-0-0-	0-0-0-0-0-
1.4739999999999	0-0-0-0-	0-0-0-0-0-
1.4749999999999	0-0-0-0-	0-0-0-0-0-
1.4759999999999	0-0-0-0-	0-0-0-0-0-
1.4769999999999	0-0-0-0-	0-0-0-0-0-
1.4779999999999	0-0-0-0-	0-0-0-0-0-
1.4789999999999	0-0-0-0-	0-0-0-0-0-
1.4799999999999	0-0-0-0-	0-0-0-0-0-
1.4809999999999	0-0-0-0-	0-0-0-0-0-
1.4819999999999	0-0-0-0-	0-0-0-0-0-
1.4829999999999	0-0-0-0-	0-0-0-0-0-
1.4839999999999	0-0-0-0-	0-0-0-0-0-
1.4849999999999	0-0-0-0-	0-0-0-0-0-
1.4859999999999	0-0-0-0-	0-0-0-0-0-
1.4869999999999	0-0-0-0-	0-0-0-0-0-
1.4879999999999	0-0-0-0-	0-0-0-0-0-
1.4889999999999	0-0-0-0-	0-0-0-0-0-
1.4899999999999	0-0-0-0-	0-0-0-0-0-
1.4909999999999	0-0-0-0-	0-0-0-0-0-
1.4919999999999	0-0-0-0-	1-5-0-8-18:00:00:00:00:00:00:00
1.4929999999999	0-0-0-0-	0-0-0-0-0-
1.4939999999999	1-5-0-8-18:00:00:00:00:00:00:00	0-0-0-0-0-
1.4949999999999	0-0-0-0-	0-0-0-0-0-
1.4959999999999	0-0-0-0-	0-0-0-0-0-
1.4969999999999	0-0-0-0-	0-0-0-0-0-
1.4979999999999	0-0-0-0-	0-0-0-0-0-
1.4989999999999	0-0-0-0-	0-0-0-0-0-
1.4999999999999	0-0-0-0-	0-0-0-0-0-
1.5009999999999	0-0-0-0-	0-0-0-0-0-
1.5019999999999	0-0-0-0-	0-0-0-0-0-
1.5029999999999	0-0-0-0-	0-0-0-0-0-
1.5039999999999	0-0-0-0-	0-0-0-0-0-
1.5049999999999	0-0-0-0-	0-0-0-0-0-
1.5059999999999	0-0-0-0-	0-0-0-0-0-
1.5069999999999	0-0-0-0-	0-0-0-0-0-
1.5079999999999	0-0-0-0-	0-0-0-0-0-
1.5089999999999	0-0-0-0-	0-0-0-0-0-
1.5099999999999	0-0-0-0-	0-0-0-0-0-
1.5109999999999	0-0-0-0-	0-0-0-0-0-
1.5119999999999	0-0-0-0-	0-0-0-0-0-
1.5129999999999	0-0-0-0-	0-0-0-0-0-
1.5139999999999	0-0-0-0-	0-0-0-0-0-
1.5149999999999	0-0-0-0-	0-0-0-0-0-
1.5159999999999	0-0-0-0-	0-0-0-0-0-
1.5169999999999	0-0-0-0-	0-0-0-0-0-
1.5179999999999	0-0-0-0-	0-0-0-0-0-
1.5189999999999	0-0-0-0-	0-0-0-0-0-
1.5199999999999	0-0-0-0-	0-0-0-0-0-
1.5209999999999	0-0-0-0-	0-0-0-0-0-
1.5219999999999	0-0-0-0-	0-0-0-0-0-
1.5229999999999	0-0-0-0-	0-0-0-0-0-
1.5239999999999	0-0-0-0-	0-0-0-0-0-
1.5249999999999	0-0-0-0-	0-0-0-0-0-
1.5259999999999	0-0-0-0-	0-0-0-0-0-
1.5269999999999	0-0-0-0-	0-0-0-0-0-
1.5279999999999	0-0-0-0-	0-0-0-0-0-
1.5289999999999	0-0-0-0-	0-0-0-0-0-
1.5299999999999	0-0-0-0-	0-0-0-0-0-
1.5309999999999	0-0-0-0-	0-0-0-0-0-
1.5319999999999	0-0-0-0-	0-0-0-0-0-
1.5329999999999	0-0-0-0-	0-0-0-0-0-
1.5339999999999	0-0-0-0-	0-0-0-0-0-
1.5349999999999	0-0-0-0-	0-0-0-0-0-
1.5359999999999	0-0-0-0-	0-0-0-0-0-
1.5369999999999	0-0-0-0-	0-0-0-0-0-
1.5379999999999	0-0-0-0-	0-0-0-0-0-
1.5389999999999	0-0-0-0-	0-0-0-0-0-
1.5399999999999	0-0-0-0-	0-0-0-0-0-
1.5409999999999	0-0-0-0-	0-0-0-0-0-
1.5419999999999	0-0-0-0-	0-0-0-0-0-
1.5429999999999	0-0-0-0-	1-5-0-8-22:00:00:00:00:00:00:00
1.5439999999999	0-0-0-0-	0-0-0-0-0-
1.5449999999999	1-5-0-8-22:00:00:00:00:00:00:00	0-0-0-0-0-
1.5459999999999	0-0-0-0-	0-0-0-0-0-
1.5469999999999	0-0-0-0-	0-0-0-0-0-
1.5479999999999	0-0-0-0-	0-0-0-0-0-
1.5489999999999	0-0-0-0-	0-0-0-0-0-
1.5499999999999	0-0-0-0-	0-0-0-0-0-
1.5509999999999	0-0-0-0-	0-0-0-0-0-
1.5519999999999	0-0-0-0-	0-0-0-0-0-
1.5529999999999	0-0-0-0-	0-0-0-0-0-
1.5539999999999	0-0-0-0-	0-0-0-0-0-
1.5549999999999	0-0-0-0-	0-0-0-0-0-
1.5559999999999	0-0-0-0-	0-0-0-0-0-
1.5569999999999	0-0-0-0-	0-0-0-0-0-
1.5579999999999	0-0-0-0-	0-0-0-0-0-
1.5589999999999	0-0-0-0-	0-0-0-0-0-
1.5599999999999	0-0-0-0-	0-0-0-0-0-
1.5609999999999	0-0-0-0-	0-0-0-0-0-
1.5619999999999	0-0-0-0-	0-0-0-0-0-
1.5629999999999	0-0-0-0-	0-0-0-0-0-
1.5639999999999	0-0-0-0-	0-0-0-0-0-
1.5649999999999	0-0-0-0-	0-0-0-0-0-
1.5659999999999	0-0-0-0-	0-0-0-0-0-
1.5669999999999	0-0-0-0-	0-0-0-0-0-
1.5679999999999	0-0-0-0-	0-0-0-0-0-
1.5689999999999	0-0-0-0-	0-0-0-0-0-
1.5699999999999	0-0-0-0-	0-0-0-0-0-
1.5709999999999	0-0-0-0-	0-0-0-0-0-
1.5719999999999	0-0-0-0-	0-0-0-0-0-
1.5729999999999	0-0-0-0-	0-0-0-0-0-
1.5739999999999	0-0-0-0-	0-0-0-0-0-
1.5749999999999	0-0-0-0-	0-0-0-0-0-
1.5759999999999	0-0-0-0-	0-0-0-0-0-
1.5769999999999	0-0-0-0-	0-0-0-0-0-
1.5779999999999	0-0-0-0-	0-0-0-0-0-
1.5789999999999	0-0-0-0-	0-0-0-0-0-
1.5799999999999	0-0-0-0-	0-0-0-0-0-
1.5809999999999	0-0-0-0-	0-0-0-0-0-
1.5819999999999	0-0-0-0-	0-0-0-0-0-
1.5829999999999	0-0-0-0-	0-0-0-0-0-
1.5839999999999	0-0-0-0-	0-0-0-0-0-
1.5849999999999	0-0-0-0-	0-0-0-0-0-
1.5859999999999	0-0-0-0-	0-0-0-0-0-
1.5869999999999	0-0-0-0-	0-0-0-0-0-
1.5879999999999	0-0-0-0-	0-0-0-0-0-
1.5889999999999	0-0-0-0-	0-0-0-0-0-
1.5899999999999	0-0-0-0-	0-0-0-0-0-
1.5909999999999	0-0-0-0-	0-0-0-0-0-
1.5919999999999	0-0-0-0-	0-0-0-0-0-
1.5929999999999	0-0-0-0-	1-5-0-8-2C:00:00:00:00:00:00:00
1.5939999999999	0-0-0-0-	0-0-0-0-0-
1.5949999999999	1-5-0-8-2C:00:00:00:00:00:00:00	0-0-0-0-0-
1.5959999999999	0-0-0-0-	0-0-0-0-0-
1.5969999999999	0-0-0-0-	0-0-0-0-0-
1.5979999999999	0-0-0-0-	0-0-0-0-0-
1.5989999999999	0-0-0-0-	0-0-0-0-0-
1.5999999999999	0-0-0-0-	0-0-0-0-0-
1.6009999999999	0-0-0-0-	0-0-0-0-0-
1.6019999999999	0-0-0-0-	0-0-0-0-0-
1.6029999999999	0-0-0-0-	0-0-0-0-0-
1.6039999999999	0-0-0-0-	0-0-0-0-0-
1.6049999999999	0-0-0-0-	0-0-0-0-0-
1.6059999999999	0-0-0-0-	0-0-0-0-0-
1.6069999999999	0-0-0-0-	0-0-0-0-0-
1.6079999999999	0-0-0-0-	0-0-0-0-0-
1.6089999999999	0-0-0-0-	0-0-0-0-0-
1.6099999999999	0-0-0-0-	0-0-0-0-0-
1.6109999999999	0-0-0-0-	0-0-0-0-0-
1.6119999999999	0-0-0-0-	0-0-0-0-0-
1.6129999999999	0-0-0-0-	0-0-0-0-0-
1.6139999999999	0-0-0-0-	0-0-0-0-0-
1.6149999999999	0-0-0-0-	0-0-0-0-0-
1.6159999999999	0-0-0-0-	0-0-0-0-0-
1.6169999999999	0-0-0-0-	0-0-0-0-0-
1.6179999999999	0-0-0-0-	0-0-0-0-0-
1.6189999999999	0-0-0-0-	0-0-0-0-0-
1.6199999999999	0-0-0-0-	0-0-0-0-0-
1.6209999999999	0-0-0-0-	0-0-0-0-0-
1.6219999999999	0-0-0-0-	0-0-0-0-0-
1.6229999999999	0-0-0-0-	0-0-0-0-0-
1.6239999999999	0-0-0-0-	0-0-0-0-0-
1.6249999999999	0-0-0-0-	0-0-0-0-0-
1.6259999999999	0-0-0-0-	0-0-0-0-0-
1.6269999999999	0-0-0-0-	0-0-0-0-0-
1.6279999999999	0-0-0-0-	0-0-0-0-0-
1.6289999999999	0-0-0-0-	0-0-0-0-0-
1.6299999999999	0-0-0-0-	0-0-0-0-0-
1.6309999999999	0-0-0-0-	0-0-0-0-0-
1.6319999999999	0-0-0-0-	0-0-0-0-0-
1.6329999999999	0-0-0-0-	0-0-0-0-0-
1.6339999999999	0-0-0-0-	0-0-0-0-0-
1.6349999999999	0-0-0-0-	0-0-0-0-0-
1.6359999999999	0-0-0-0-	0-0-0-0-0-
1.6369999999999	0-0-0-0-	0-0-0-0-0-
1.6379999999999	0-0-0-0-	0-0-0-0-0-
1.6389999999999	0-0-0-0-	0-0-0-0-0-
1.6399999999999	0-0-0-0-	0-0-0-0-0-
1.6409999999999	0-0-0-0-	0-0-0-0-0-
1.6419999999999	0-0-0-0-	0-0-0-0-0-
1.6429999999999	0-0-0-0-	1-5-0-8-36:00:00:00:00:00:00:00
1.6439999999999	0-0-0-0-	0-0-0-0-0-
1.6449999999999	1-5-0-8-36:00:00:00:00:00:00:00	0-0-0-0-0-
1.6459999999999	0-0-0-0-	0-0-0-0-0-
1.6469999999999	0-0-0-0-	0-0-0-0-0-
1.6479999999999	0-0-0-0-	0-0-0-0-0-
1.6489999999999	0-0-0-0-	0-0-0-0-0-
1.6499999999999	0-0-0-0-	0-0-0-0-0-
1.6509999999999	0-0-0-0-	0-0-0-0-0-
1.6519999999999	0-0-0-0-	0-0-0-0-0-
1.6529999999999	0-0-0-0-	0-0-0-0-0-
1.6539999999999	0-0-0-0-	0-0-0-0-0-
1.6549999999999	0-0-0-0-	0-0-0-0-0-
1.6559999999999	0-0-0-0-	0-0-0-0-0-
1.6569999999999	0-0-0-0-	0-0-0-0-0-
1.6579999999999	0-0-0-0-	0-0-0-0-0-
1.6589999999999	0-0-0-0-	0-0-0-0-0-
1.6599999999999	0-0-0-0-	0-0-0-0-0-
1.6609999999999	0-0-0-0-	0-0-0-0-0-
1.6619999999999	0-0-0-0-	0-0-0-0-0-
1.6629999999999	0-0-0-0-	0-0-0-0-0-
1.6639999999999	0-0-0-0-	0-0-0-0-0-
1.6649999999999	0-0-0-0-	0-0-0-0-0-
1.6659999999999	0-0-0-0-	0-0-0-0-0-
1.6669999999999	0-0-0-0-	0-0-0-0-0-
1.6679999999999	0-0-0-0-	0-0-0-0-0-
1.6689999999999	0-0-0-0-	0-0-0-0-0-
1.6699999999999	0-0-0-0-	0-0-0-0-0-
1.6709999999999	0-0-0-0-	0-0-0-0-0-
